CW;FWHM;
418.42;7.00;
424.04;6.67;
429.46;6.42;
434.69;6.25;
439.76;6.13;
444.70;6.06;
449.54;6.01;
454.31;5.98;
459.03;5.95;
463.73;5.92;
468.41;5.89;
473.08;5.86;
477.74;5.83;
482.41;5.81;
487.09;5.80;
491.78;5.80;
496.50;5.81;
501.24;5.84;
506.02;5.87;
510.83;5.91;
515.67;5.96;
520.55;6.01;
525.47;6.07;
530.42;6.12;
535.42;6.18;
540.46;6.24;
545.55;6.29;
550.69;6.35;
555.87;6.41;
561.11;6.47;
566.41;6.53;
571.76;6.58;
577.17;6.64;
582.64;6.70;
588.17;6.76;
593.77;6.82;
599.45;6.88;
605.19;6.95;
611.02;7.02;
616.92;7.10;
622.92;7.18;
628.99;7.25;
635.11;7.33;
641.29;7.41;
647.54;7.48;
653.84;7.55;
660.21;7.62;
666.64;7.69;
673.13;7.76;
679.69;7.83;
686.32;7.90;
693.01;7.97;
699.78;8.05;
706.62;8.13;
713.52;8.21;
720.50;8.29;
727.55;8.38;
734.65;8.47;
741.83;8.55;
749.06;8.64;
756.35;8.72;
763.70;8.80;
771.11;8.88;
778.57;8.96;
786.08;9.03;
793.64;9.10;
801.25;9.17;
808.91;9.24;
816.61;9.30;
824.36;9.37;
832.15;9.44;
839.98;9.51;
847.85;9.58;
855.76;9.66;
863.70;9.74;
871.68;9.82;
879.69;9.91;
887.73;9.99;
895.79;10.08;
901.96;9.18;
911.57;9.32;
921.32;9.45;
931.20;9.58;
941.22;9.71;
951.36;9.83;
961.63;9.94;
972.02;10.06;
982.52;10.16;
993.14;10.27;
1003.88;10.37;
1014.72;10.48;
1025.66;10.58;
1036.70;10.68;
1047.84;10.77;
1059.07;10.86;
1070.39;10.94;
1081.78;11.02;
1093.26;11.08;
1104.81;11.14;
1116.43;11.20;
1128.10;11.24;
1139.84;11.28;
1151.62;11.31;
1163.44;11.34;
1175.30;11.37;
1187.20;11.39;
1199.11;11.40;
1211.05;11.41;
1223.00;11.42;
1234.97;11.43;
1246.94;11.43;
1258.93;11.43;
1270.92;11.43;
1282.92;11.43;
1294.91;11.42;
1306.90;11.41;
1318.88;11.39;
1330.85;11.38;
1342.82;11.36;
1354.76;11.34;
1366.69;11.32;
1378.60;11.30;
1390.48;11.27;
1461.10;11.09;
1472.74;11.05;
1484.34;11.02;
1495.89;10.98;
1507.40;10.94;
1518.87;10.90;
1530.29;10.86;
1541.67;10.82;
1553.01;10.77;
1564.30;10.73;
1575.55;10.69;
1586.76;10.64;
1597.91;10.60;
1609.02;10.55;
1620.09;10.51;
1631.11;10.46;
1642.07;10.42;
1653.00;10.37;
1663.87;10.33;
1674.70;10.28;
1685.47;10.23;
1696.20;10.19;
1706.87;10.14;
1717.50;10.10;
1728.08;10.05;
1738.60;10.01;
1749.08;9.96;
1759.51;9.92;
1939.14;9.17;
1948.69;9.13;
1958.20;9.09;
1967.66;9.05;
1977.08;9.01;
1986.45;8.97;
1995.79;8.93;
2005.08;8.89;
2014.33;8.85;
2023.54;8.81;
2032.70;8.78;
2041.83;8.74;
2050.92;8.70;
2059.96;8.66;
2068.97;8.63;
2077.93;8.59;
2086.86;8.55;
2095.74;8.52;
2104.59;8.48;
2113.40;8.44;
2122.17;8.41;
2130.90;8.37;
2139.60;8.34;
2148.26;8.30;
2156.88;8.27;
2165.47;8.23;
2174.02;8.20;
2182.53;8.16;
2191.01;8.13;
2199.45;8.10;
2207.86;8.07;
2216.24;8.03;
2224.58;8.00;
2232.89;7.97;
2241.16;7.94;
2249.40;7.91;
2257.61;7.88;
2265.79;7.85;
2273.93;7.82;
2282.04;7.79;
2290.12;7.76;
2298.17;7.73;
2306.19;7.70;
2314.17;7.67;
2322.13;7.64;
2330.05;7.61;
2337.94;7.59;
2345.81;7.56;
2353.64;7.53;
2361.44;7.50;
2369.21;7.47;
2376.95;7.44;
2384.66;7.41;
2392.34;7.38;
2400.00;7.35;
2407.62;7.32;
2415.21;7.29;
2422.78;7.26;
2430.32;7.22;
2437.82;7.19;
2445.30;7.16;
